TGS2600,TGS2603,TGS2602,TGS2620,TGS832A,Label
17.0,32.0,17.0,18.0,86.0,Breath
18.0,33.0,18.0,16.0,85.0,Breath
18.0,35.0,18.0,15.0,82.0,Breath
18.0,36.0,19.0,14.0,78.0,Breath
18.0,37.0,19.0,13.0,76.0,Breath
18.0,39.0,20.0,13.0,75.0,Breath
19.0,40.0,20.0,12.0,72.0,Breath
18.0,40.0,20.0,12.0,69.0,Breath
18.0,40.0,20.0,14.0,69.0,Breath
18.0,40.0,20.0,12.0,67.0,Breath
18.0,39.0,20.0,11.0,64.0,Breath
17.0,39.0,19.0,11.0,61.0,Breath
17.0,39.0,19.0,11.0,59.0,Breath
17.0,40.0,20.0,12.0,57.0,Breath
17.0,40.0,20.0,11.0,56.0,Breath
16.0,40.0,20.0,10.0,54.0,Breath
16.0,40.0,20.0,11.0,55.0,Breath
17.0,40.0,20.0,13.0,63.0,Breath
17.0,41.0,21.0,14.0,72.0,Breath
18.0,41.0,21.0,14.0,79.0,Breath
19.0,41.0,21.0,12.0,80.0,Breath
19.0,41.0,21.0,11.0,76.0,Breath
19.0,40.0,21.0,11.0,72.0,Breath
19.0,39.0,20.0,11.0,68.0,Breath
18.0,38.0,19.0,13.0,68.0,Breath
18.0,37.0,19.0,16.0,70.0,Breath
17.0,36.0,18.0,17.0,72.0,Breath
17.0,35.0,18.0,17.0,73.0,Breath
17.0,34.0,18.0,14.0,72.0,Breath
16.0,33.0,17.0,13.0,69.0,Breath
16.0,32.0,16.0,11.0,66.0,Breath
16.0,32.0,16.0,11.0,62.0,Breath
16.0,31.0,16.0,10.0,59.0,Breath
16.0,30.0,16.0,13.0,63.0,Breath
16.0,30.0,16.0,13.0,74.0,Breath
15.0,30.0,16.0,12.0,85.0,Breath
16.0,30.0,16.0,11.0,95.0,Breath
16.0,30.0,17.0,10.0,96.0,Breath
17.0,30.0,17.0,10.0,92.0,Breath
17.0,29.0,16.0,9.0,85.0,Breath
17.0,29.0,16.0,9.0,80.0,Breath
16.0,28.0,16.0,9.0,74.0,Breath
16.0,28.0,15.0,9.0,70.0,Breath
16.0,27.0,15.0,10.0,66.0,Breath
16.0,27.0,15.0,13.0,74.0,Breath
16.0,27.0,15.0,16.0,86.0,Breath
16.0,26.0,15.0,18.0,91.0,Breath
16.0,26.0,15.0,17.0,90.0,Breath
16.0,26.0,15.0,15.0,86.0,Breath
16.0,27.0,15.0,13.0,81.0,Breath
16.0,27.0,16.0,12.0,76.0,Breath
16.0,28.0,16.0,12.0,72.0,Breath
16.0,30.0,16.0,11.0,69.0,Breath
16.0,31.0,16.0,11.0,65.0,Breath
16.0,31.0,16.0,10.0,63.0,Breath
16.0,31.0,17.0,10.0,60.0,Breath
16.0,32.0,16.0,10.0,58.0,Breath
16.0,35.0,18.0,11.0,57.0,Breath
17.0,47.0,23.0,15.0,62.0,Breath
18.0,58.0,30.0,17.0,72.0,Breath
19.0,64.0,34.0,17.0,81.0,Breath
21.0,69.0,37.0,16.0,86.0,Breath
22.0,71.0,38.0,14.0,87.0,Breath
23.0,72.0,39.0,12.0,84.0,Breath
23.0,71.0,39.0,11.0,80.0,Breath
22.0,70.0,38.0,10.0,75.0,Breath
22.0,69.0,38.0,10.0,72.0,Breath
22.0,69.0,38.0,10.0,69.0,Breath
21.0,68.0,38.0,11.0,66.0,Breath
21.0,66.0,38.0,13.0,63.0,Breath
21.0,65.0,37.0,14.0,61.0,Breath
21.0,64.0,37.0,14.0,59.0,Breath
20.0,64.0,38.0,14.0,60.0,Breath
20.0,66.0,40.0,13.0,60.0,Breath
20.0,67.0,41.0,12.0,60.0,Breath
20.0,66.0,41.0,11.0,59.0,Breath
20.0,65.0,41.0,11.0,58.0,Breath
19.0,63.0,40.0,10.0,57.0,Breath
19.0,61.0,38.0,10.0,55.0,Breath
19.0,59.0,37.0,9.0,53.0,Breath
18.0,57.0,36.0,9.0,52.0,Breath
18.0,55.0,35.0,11.0,50.0,Breath
18.0,53.0,33.0,12.0,49.0,Breath
17.0,51.0,32.0,11.0,47.0,Breath
17.0,49.0,31.0,10.0,46.0,Breath
17.0,48.0,30.0,9.0,45.0,Breath
16.0,47.0,29.0,9.0,44.0,Breath
16.0,45.0,28.0,10.0,44.0,Breath
16.0,44.0,27.0,10.0,45.0,Breath
16.0,42.0,26.0,9.0,45.0,Breath
15.0,41.0,25.0,8.0,44.0,Breath
15.0,40.0,24.0,8.0,43.0,Breath
15.0,39.0,23.0,8.0,42.0,Breath
15.0,38.0,22.0,9.0,42.0,Breath
15.0,37.0,21.0,13.0,49.0,Breath
15.0,36.0,21.0,19.0,60.0,Breath
16.0,36.0,20.0,22.0,70.0,Breath
16.0,35.0,20.0,19.0,77.0,Breath
16.0,35.0,19.0,15.0,76.0,Breath
17.0,34.0,18.0,14.0,72.0,Breath
